debate_audio_id,sentence_id,sentence_index,speaker_raw,n_words,start_sec,end_sec,duration_sec,sentence_text,source
1034,1034_w0001,0,UNKNOWN,17,0.251,8.016,7.765,"debate, the first and potentially only match-up between Vice President Kamala Harris and former President Donald Trump.",whisper_canonical
1034,1034_w0002,1,UNKNOWN,25,8.556,18.202,9.646,"Both candidates, having accepted their party's nominations at the conventions earlier this summer, meet tonight on the debate stage for the first time in Philadelphia.",whisper_canonical
1034,1034_w0003,2,UNKNOWN,11,18.862,24.025,5.163,in the same city where the Constitution was written years ago.,whisper_canonical
1034,1034_w0004,3,UNKNOWN,16,24.045,32.451,8.406,"Tonight's debate is at the National Constitution Center, hosted by ABC and simulcasted here on C-SPAN.",whisper_canonical
1034,1034_w0005,4,UNKNOWN,15,33.272,37.875,4.603,"Before the debate begins tonight, we of course want to hear from all of you.",whisper_canonical
1034,1034_w0006,5,UNKNOWN,9,38.575,40.796,2.221,What do you want to hear from these candidates?,whisper_canonical
1034,1034_w0007,6,UNKNOWN,11,40.956,43.756,2.8,Here's how you can join the conversation in the next hour.,whisper_canonical
1034,1034_w0008,7,UNKNOWN,11,44.296,46.697,2.401,"If you are supporting the vice president, dial in at 202-748-8920.",whisper_canonical
1034,1034_w0009,8,UNKNOWN,11,46.737,49.778,3.041,If you support the former president your line tonight is 202-748-8921.,whisper_canonical
1034,1034_w0010,9,UNKNOWN,13,49.798,52.219,2.421,"If you are supporting another candidate, a different one, dial in at 202-748-8922.",whisper_canonical
1034,1034_w0011,10,UNKNOWN,13,61.861,68.046,6.185,"And if you are undecided, we want to hear from you at 202-748-8923.",whisper_canonical
1034,1034_w0012,11,UNKNOWN,16,68.466,75.512,7.046,"You can text us all of you at 202-748-8903, include your first name, city and state.",whisper_canonical
1034,1034_w0013,12,UNKNOWN,17,75.812,81.657,5.845,You can also join us on X with the handle at C-SPAN or on facebook.com slash c-SPAN.,whisper_canonical
1034,1034_w0014,13,UNKNOWN,23,82.671,92.677,10.006,"Before we get to your calls, joining us from Philadelphia tonight is Axios's national politics reporter, Sophia Kai, here to preview tonight's debate.",whisper_canonical
1034,1034_w0015,14,UNKNOWN,21,92.697,99.622,6.925,"Sophia Kai, you are at the media filing center, which is also going to be where the spin room is tonight.",whisper_canonical
1034,1034_w0016,15,UNKNOWN,4,99.682,101.063,1.381,Describe the scene there.,whisper_canonical
1034,1034_w0017,16,UNKNOWN,6,103.335,105.096,1.761,"Yeah, so it's a large space.",whisper_canonical
1034,1034_w0018,17,UNKNOWN,21,105.216,112.579,7.363,There's hundreds of seats set up for reporters from around the world who have come to Philadelphia to cover the debate.,whisper_canonical
1034,1034_w0019,18,UNKNOWN,39,112.899,125.705,12.806,"And, you know, along the side is a spin room where candidates and their surrogates and teams will come after the debate to speak to the press and really spin us on what they want the message to be.",whisper_canonical
1034,1034_w0020,19,UNKNOWN,23,125.805,131.748,5.943,"So this is really going to be the hub of where the debate is, aside from the actual debate, which starts at nine.",whisper_canonical
1034,1034_w0021,20,UNKNOWN,11,132.448,135.991,3.543,How many people are there at the Philadelphia Convention Center tonight?,whisper_canonical
1034,1034_w0022,21,UNKNOWN,5,138.614,140.115,1.501,"You know, there's hundreds now.",whisper_canonical
1034,1034_w0023,22,UNKNOWN,11,140.376,144.379,4.003,There's probably going to be hundreds if not a thousand people.,whisper_canonical
1034,1034_w0024,23,UNKNOWN,21,144.399,152.187,7.788,"I mean, just reporters, there's hundreds and hundreds of seats set up, you know, a single seat for a single reporter.",whisper_canonical
1034,1034_w0025,24,UNKNOWN,12,153.465,157.389,3.924,"And as you said, we'll also hear from surrogates from these campaigns.",whisper_canonical
1034,1034_w0026,25,UNKNOWN,31,157.749,168.84,11.091,"What are some names of people that we should expect to see, possibly even before the debate begins, and then after, as you said, to spin the media on tonight's debate?",whisper_canonical
1034,1034_w0027,26,UNKNOWN,14,171.397,177.023,5.626,"So I just walked by California Governor Newsom, who is here for Kamala Harris.",whisper_canonical
1034,1034_w0028,27,UNKNOWN,20,177.484,185.432,7.948,"And previously I spoke to Byron Donalds, a congressman from Florida, as well as Matt Gaetz, who is also here.",whisper_canonical
1034,1034_w0029,28,UNKNOWN,9,185.452,189.196,3.744,"I mean, each candidate has about a dozen surrogates.",whisper_canonical
1034,1034_w0030,29,UNKNOWN,14,189.817,195.419,5.602,"from both sides, and they range from swing state governors to members of Congress",whisper_canonical
1034,1034_w0031,30,UNKNOWN,6,196.459,197.86,1.401,"to, you know, the vice presidents,",whisper_canonical
1034,1034_w0032,31,UNKNOWN,11,199.281,201.621,2.34,candidates who will also be here to speak to the press.,whisper_canonical
1034,1034_w0033,32,UNKNOWN,28,202.802,213.646,10.844,"Outside of the Philadelphia Convention Center, what's it like in that city, ahead of tonight's debate, for the first time these two candidates meeting each other on stage?",whisper_canonical
1034,1034_w0034,33,UNKNOWN,14,216.445,221.307,4.862,"Yeah, so Center City, large portions of it are blocked off for the debate.",whisper_canonical
1034,1034_w0035,34,UNKNOWN,15,221.727,226.088,4.361,I spoke to some business owners who have told their employees to work from home.,whisper_canonical
1034,1034_w0036,35,UNKNOWN,31,227.209,239.613,12.404,"Just about an hour ago, I walked past an intersection where local residents have gathered to wait for Harris to hopefully walk out so they could catch a glimpse of her.",whisper_canonical
1034,1034_w0037,36,UNKNOWN,17,240.513,247.016,6.503,"And then, you know, just outside about two blogs happening about minutes ago is a pro-Palestine protest.",whisper_canonical
1034,1034_w0038,37,UNKNOWN,24,247.216,257.782,10.566,"You know, probably hundreds of people protesting on market streets chanting Free Free Palestine right under the billboards where the Harris campaign is advertising.",whisper_canonical
1034,1034_w0039,38,UNKNOWN,13,258.242,262.344,4.102,"Yeah, talk about the billboards that you've seen for the candidates in Philadelphia.",whisper_canonical
1034,1034_w0040,39,UNKNOWN,8,264.671,267.592,2.921,"So, so far, I've only seen Harris billboards.",whisper_canonical
1034,1034_w0041,40,UNKNOWN,15,268.492,276.593,8.101,They've been everything ranging from being pro-Harris to highlighting Project and attaching that to Trump,whisper_canonical
1034,1034_w0042,41,UNKNOWN,22,277.593,285.655,8.062,"to a billboard about sizes of pretzels, a larger pretzel for Kamala Harris, a smaller piece of a pretzel for Donald Trump.",whisper_canonical
1034,1034_w0043,42,UNKNOWN,12,286.435,288.975,2.54,Most of what I have seen has come from the Harris camp.,whisper_canonical
1034,1034_w0044,43,UNKNOWN,8,290.155,293.296,3.141,How have the candidates prepared for tonight's debate?,whisper_canonical
1034,1034_w0045,44,UNKNOWN,9,295.893,298.894,3.001,I think both camps are taking it very seriously.,whisper_canonical
1034,1034_w0046,45,UNKNOWN,14,299.815,305.557,5.742,There's more on the line for Kamala Harris because she's just entered this race.,whisper_canonical
1034,1034_w0047,46,UNKNOWN,18,306.078,310.74,4.662,A lot of Americans don't know her just yet and don't know where she stands on the issues.,whisper_canonical
1034,1034_w0048,47,UNKNOWN,61,311.42,331.038,19.618,and so I think she has more to prove for that reason she started preparing weeks and weeks in advance even before the DNC convention you know she did a mock debate at Howard University she's done more of these in the weak sense you know and she's been watching previous Trump debates to sort of study and learn his behavior.,whisper_canonical
1034,1034_w0049,48,UNKNOWN,14,331.758,335.88,4.122,"Trump, on the other hand, says that he's not doing very much debate prep.",whisper_canonical
1034,1034_w0050,49,UNKNOWN,12,335.92,341.061,5.141,"He says that his prep is simply conducting interviews, talking to voters.",whisper_canonical
1034,1034_w0051,50,UNKNOWN,20,341.661,347.223,5.562,"But, you know, the reality is he has lots of calls on his own with his allies, talking about policy.",whisper_canonical
1034,1034_w0052,51,UNKNOWN,58,347.623,366.32,18.697,"With him, it's more about putting him in the right mindset You know, his aides want to see him show up at more focused, able to talk about policy and show a more personable side instead of, you know, other times he's shown up like at NABJ where he's been a little more angry, less focused and chaotic.",whisper_canonical
1034,1034_w0053,52,UNKNOWN,28,367.619,379.39,11.771,"It has the campaign for the former president talked about preparing him for debating a female candidate, something he hasn't done since when he ran against Hillary Clinton.",whisper_canonical
1034,1034_w0054,53,UNKNOWN,11,379.65,382.493,2.843,Will he take a different approach tonight because of that dynamic?,whisper_canonical
1034,1034_w0055,54,UNKNOWN,30,385.28,396.107,10.827,"I think that's the elephant in the room, but I don't think you'll see him directly mention Harris' gender or race, or at least that's the hope of his aides.",whisper_canonical
1034,1034_w0056,55,UNKNOWN,23,396.807,406.013,9.206,"You know, their approach has been, you know, in some ways to highlight implicitly those differences, and that's an obvious difference that's noticeable",whisper_canonical
1034,1034_w0057,56,UNKNOWN,3,407.073,408.394,1.321,to American voters.,whisper_canonical
1034,1034_w0058,57,UNKNOWN,7,408.914,409.995,1.081,"But, you know, it's and I think",whisper_canonical
1034,1034_w0059,58,UNKNOWN,19,411.396,418.526,7.13,The Trump camp realizes that he can no longer run just on those racist or gendered remarks and attacks.,whisper_canonical
1034,1034_w0060,59,UNKNOWN,7,419.648,421.43,1.782,"Finally, what are you listening for tonight?",whisper_canonical
1034,1034_w0061,60,UNKNOWN,10,421.491,423.493,2.002,What do you think our viewers should be listening for?,whisper_canonical
1034,1034_w0062,61,UNKNOWN,12,426.26,431.105,4.845,"I think aside from the noise, viewers should really look for policy.",whisper_canonical
1034,1034_w0063,62,UNKNOWN,13,431.906,436.33,4.424,Listen to how they talk about issues that will affect your day-to-day lives.,whisper_canonical
