unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,LEHRER,"Good evening from the Shiley Theatre at the University of San Diego, San Diego, California.",GR,,,,GR,,,,GR,,,
2,LEHRER,I’m Jim Lehrer of the News Hour on PBS.,S,,,,S,,,,S,,,
3,LEHRER,"Welcome to this second 1996 presidential debate between Senator Bob Dole, the Republican nominee, and President Bill Clinton, the Democratic nominee.",S-Inform; GR,,,,S-Inform; GR,,,,S-Inform; GR,,,
4,LEHRER,It is sponsored by the Commission on Presidential Debates.,S,,,,S,,,,S,,,
5,LEHRER,We will follow a town-hall type format tonight.,S,,,,S,,,,S,,,
6,LEHRER,The questions over the next 90 minutes will come from citizens of the greater San Diego area.,S,,,,S,,,,S,,,
7,LEHRER,"They were chosen in the past week by the Gallup organization to represent a rough cross section of voters as to political views, age, gender and other factors.",S-Inform,,,,S-Inform,,,,S-Inform,,,
8,LEHRER,Each said he or she is undecided about this presidential race.,S,,,,S,,,,S,,,
9,LEHRER,They were told to come tonight with questions.,S,,,,S,,,,S,,,
10,LEHRER,Nobody from the debate commission or the two campaigns has any idea what those questions are.,S,,,,S,,,,S,,,
11,LEHRER,Neither do I.,S,,,,S,,,,S,,,
12,LEHRER,We will all be hearing them for the first time at the same time.,S,,,,S,,,,S,,,
13,LEHRER,"I met with this group three hours ago, and we spoke only about how it was going to work tonight.",S,,,,S,,,,S,,,
14,LEHRER,They are sitting in five sections.,S,,,,S,,,,S,,,
15,LEHRER,"I will call on individuals at random, moving from one section to another with each new question, alternating the questions between the two candidates.",S,,,,S,,,,S,,,
16,LEHRER,My job is to keep things fair and the subjects as clear and as varied as possible.,S,,,,S,,,,S,,,
17,LEHRER,"The rules, drawn by the campaigns, are basically the same as they were for the Hartford and St.",S-Inform,,,,S-Inform,,,,S-Inform,,,
18,LEHRER,"Petersburg debates; 90 second-answers, 60 -second rebuttals, 30-second responses for each question.",S-Inform,,,,S-Inform,,,,S-Inform,,,
19,LEHRER,The candidates are not allowed to question each other directly.,S,,,,S,,,,S,,,
20,LEHRER,There will be two-minute opening and closing statements.,S-Inform,,,,S-Inform,,,,S-Inform,,,
