unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,JIM LEHRER,Good evening.,GR,,,,GR,,,,GR,,,
2,JIM LEHRER,Welcome to this third and final debate among the three major candidates for president of the US.,GR,,,,GR,,,,GR,,,
3,JIM LEHRER,"Governor Bill Clinton, the Democratic nominee, President George Bush, the Republican nominee, — — and independent candidate Ross Perot.",S,,,,S,,,,S,,,
4,JIM LEHRER,I am Jim Lehrer of the MacNeil-Lehrer Newshour on PBS.,S,,,,S,,,,S,,,
5,JIM LEHRER,"I will be the moderator for this debate, which is being sponsored by the Commission on Presidential Debates.",S,,,,S,,,,S,,,
6,JIM LEHRER,It will be 90 minutes long.,S-Inform,,,,S-Inform,,,,S-Inform,,,
7,JIM LEHRER,It is happening before an audience on the campus of Michigan State University in East Lansing.,S,,,,S,,,,S,,,
8,JIM LEHRER,"The format was conceived by and agreed to by representatives of the Bush and Clinton campaigns, and it is somewhat different than those used in the earlier debates.",S,,,,S,,,,S,,,
9,JIM LEHRER,I will ask questions for the first half under rules that permit follow-ups.,S,,,,S,,,,S,,,
10,JIM LEHRER,A panel of 3 other journalists will ask questions in the 2nd half under rules that do not.,S-Inform,,,,S-Inform,,,,S-Inform,,,
11,JIM LEHRER,"As always, each candidate will have 2 minutes, up to 2 minutes, to make a closing statement.",S-Inform,,,,S-Inform,,,,S-Inform,,,
12,JIM LEHRER,"The order of those, as well as that for the formal questioning, were all determined by a drawing.",S,,,,S,,,,S,,,
13,JIM LEHRER,"Gentlemen, again welcome and again good evening.",GR,,,,GR,,,,GR,,,
14,JIM LEHRER,"It seems, from what some of those voters said at your Richmond debate, and from polling and other data, that each of you, fairly or not, faces serious voter concerns about the underlying credibility and believability of what each of you says you would do as president in the next 4 years.",S,,,,S,,,,S,,,
15,JIM LEHRER,"Governor Clinton, in accordance with the draw, those concerns about you are first: you are promising to create jobs, reduce the deficit, reform the health care system, rebuild the infrastructure, guarantee college education for everyone who is qualified, among many other things, all with financial pain only for the very rich.",S; MS,,,,S; MS,,,,S; MS,,,
16,JIM LEHRER,Some people are having trouble apparently believing that is possible.,S,,,,S,,,,S,,,
17,JIM LEHRER,Should they have that concern?,YNQ,,,,YNQ,,,,YNQ,,,
18,GOVERNOR CLINTON,No.,REJ; ANS,,,,REJ; ANS,,,,REJ; ANS,,,
19,GOVERNOR CLINTON,"There are many people who believe that the only way we can get this country turned around is to tax the middle class more and punish them more, but the truth is that middle-class Americans are basically the only group of Americans who’ve been taxed more in the 1980s and during the last 12 years, even though their incomes have gone down.",S; S-Inform; EXPL,,IP; SE,,S; S-Inform; EXPL,,IP; SE,,S; S-Inform; EXPL,,IP; SE,
20,GOVERNOR CLINTON,"The wealthiest Americans have been taxed much less, even though their incomes have gone up.",S; S-Inform,,SE,,S; S-Inform,,SE,,S; S-Inform,,SE,
21,GOVERNOR CLINTON,"Middle-class people will have their fair share of changing to do, and many challenges to face, including the challenge of becoming constantly re-educated.",S,,,,S,,,,S,,,
22,GOVERNOR CLINTON,"But my plan is a departure from trickle-down economics, just cutting taxes on the wealthiest Americans and getting out of the way.",S,,IP; REB; CB,,S,,IP; REB; CB,,S,,IP; REB; CB,
23,GOVERNOR CLINTON,"It’s also a departure from tax-and- spend economics, because you can’t tax and divide an economy that isn’t growing.",S; EXPL,,CB,,S; EXPL,,CB,,S; EXPL,,CB,
24,GOVERNOR CLINTON,I propose an American version of what works in other countries — I think we can do it better: invest and grow.,S,,IT; IP,,S,,IT; IP,,S,,IT; IP,
25,GOVERNOR CLINTON,"I believe we can increase investment and reduce the deficit at the same time, if we not only ask the wealthiest Americans and foreign corporations to pay their share; we also provide over $100 billion in tax relief, in terms of incentives for new plants, new small businesses, new technologies, new housing, and for middle class families; and we have $140 billion of spending cuts.",S-Inform,,IT; IP,,S-Inform,,IT; IP,,S-Inform,,IT; IP,
26,GOVERNOR CLINTON,Invest and grow.,S,,,,S,,,,S,,,
27,GOVERNOR CLINTON,"Raise some more money, spend the money on tax incentives to have growth in the private sector, take the money from the defense cuts and reinvest it in new transportation and communications and environmental clean-up systems.",S,,IT,,S,,IT,,S,,IT,
28,GOVERNOR CLINTON,This will work.,S,,IP,,S,,IP,,S,,IP,
29,GOVERNOR CLINTON,"On this, as on so many other issues, I have a fundamental difference from the present administration.",S,,IP; REB,,S,,IP; REB,,S,,IP; REB,
30,GOVERNOR CLINTON,I don’t believe trickle down economics will work.,S,,IP; REB; CB,,S,,IP; REB; CB,,S,,IP; REB; CB,
31,GOVERNOR CLINTON,Unemployment is up.,S-Inform,,SE,,S-Inform,,SE,,S-Inform,,SE,
32,GOVERNOR CLINTON,Most people are working harder for less money than they were making 10 years ago.,S-Inform,,SE,,S-Inform,,SE,,S-Inform,,SE,
33,GOVERNOR CLINTON,I think we can do better if we have the courage to change.,S,,UF; IP,,S,,UF; IP,,S,,UF; IP,
34,LEHRER,Mr.,TG,,,,TG,,,,TG,,,
35,LEHRER,"President, a response.",IAFA; TG,,,,IAFA; TG,,,,IAFA; TG,,,
36,PRESIDENT BUSH,Do I have 1 minute?,YNQ; T-REQ,,,,YNQ; T-REQ,,,,YNQ; T-REQ,,,
37,PRESIDENT BUSH,Just the ground rules here.,S,,,,S,,,,S,,,
38,LEHRER,Roughly 1 minute.,S,,,,S,,,,S,,,
39,LEHRER,We can loosen that up a little bit but go ahead.,S; TG,,,,S; TG,,,,S; TG,,,
