unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MODERATOR,Lester Holt,S,,,,S,,,,S,,,
2,HOLT,"Good evening from Hofstra University in Hempstead, New York.",GR,,,,GR,,,,GR,,,
3,HOLT,"I’m Lester Holt, anchor of “NBC Nightly News.",S,,,,S,,,,S,,,
4,HOLT,” I want to welcome you to the first presidential debate.,S; GR,,,,S; GR,,,,S; GR,,,
5,HOLT,The participants tonight are Donald Trump and Hillary Clinton.,S,,,,S,,,,S,,,
6,HOLT,"This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization.",S,,,,S,,,,S,,,
7,HOLT,"The commission drafted tonight’s format, and the rules have been agreed to by the campaigns.",S,,,,S,,,,S,,,
8,HOLT,"The 90-minute debate is divided into six segments, each 15 minutes long.",S-Inform,,,,S-Inform,,,,S-Inform,,,
9,HOLT,We’ll explore three topic areas tonight: Achieving prosperity; America’s direction; and securing America.,S,,,,S,,,,S,,,
10,HOLT,"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.",S,,,,S,,,,S,,,
11,HOLT,"From that point until the end of the segment, we’ll have an open discussion.",S,,,,S,,,,S,,,
12,HOLT,The questions are mine and have not been shared with the commission or the campaigns.,S,,,,S,,,,S,,,
13,HOLT,The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.,S,,,,S,,,,S,,,
14,HOLT,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J.",GR,,,,GR,,,,GR,,,
15,HOLT,Trump.,GR,,,,GR,,,,GR,,,
16,CLINTON,"How are you, Donald?",Q-W; GR,,,,Q-W; GR,,,,Q-W; GR,,,
17,HOLT,Good luck to you.,GR,,,,GR,,,,GR,,,
