unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MODERATOR,"Good evening, from Wake Chapel at Wake Forest University at Winston-Salem, North Carolina.",GR,,,,GR,,,,GR,,,
2,MODERATOR,I’m Jim Lehrer of the News Hour on PBS.,S,,,,S,,,,S,,,
3,MODERATOR,"Welcome to this second election 2000 debate between the Republican candidate for president, Gov.",S; GR,,,,S; GR,,,,S; GR,,,
4,MODERATOR,George W.,S,,,,S,,,,S,,,
5,MODERATOR,"Bush of Texas, and the Democratic candidate, Vice President Al Gore.",S,,,,S,,,,S,,,
6,MODERATOR,These debates are sponsored by the Commission on Presidential Debates.,S,,,,S,,,,S,,,
7,MODERATOR,The format and the rules are those negotiated by representatives of the two campaigns.,S,,,,S,,,,S,,,
8,MODERATOR,Only the subjects tonight and the questions are mine.,S,,,,S,,,,S,,,
9,MODERATOR,The format tonight is that of a conversation.,S,,,,S,,,,S,,,
10,MODERATOR,"The only prevailing rule is that no single response can ever, ever exceed two minutes.",S,,,,S,,,,S,,,
11,MODERATOR,"The prevailing rule for the audience here in the hall is as always, absolute quiet, please.",S; IAFA,,,,S; IAFA,,,,S; IAFA,,,
12,MODERATOR,"Good evening, Governor Bush, Vice President Gore.",GR,,,,GR,,,,GR,,,
13,MODERATOR,"The end of our 90 minutes last week in Boston, the total time each of you took was virtually the same.",S-Inform,,,,S-Inform,,,,S-Inform,,,
14,MODERATOR,"Let’s see if we can do the same tonight, or come close.",IAFA,,,,IAFA,,,,IAFA,,,
15,MODERATOR,"Governor Bush, the first question goes to you.",S; TG,,,,S; TG,,,,S; TG,,,
16,MODERATOR,"One of you is about to be elected the leader of the single-most powerful nation in the world, economically, financially, militarily, diplomatically, you name it.",S,,AP,,S,,AP,,S,,AP,
17,MODERATOR,Have you formed any guiding principles for exercising this enormous power?,YNQ; OQ,,,,YNQ; OQ,,,,YNQ; OQ,,,
18,BUSH,"I have, I have.",ANS,,,,ANS,,,,ANS,,,
19,BUSH,First question is what’s in the best interests of the United States?,Q-W; S,,IP,,Q-W; S,,IP,,Q-W; S,,IP,
20,BUSH,What’s in the best interests of our people?,Q-W,,AP,,Q-W,,AP,,Q-W,,AP,
21,BUSH,When it comes to foreign policy that will be my guiding question.,S,,IP,,S,,IP,,S,,IP,
22,BUSH,Is it in our nation’s interests?,YNQ; Q-RHET,,,,YNQ; Q-RHET,,,,YNQ; Q-RHET,,,
23,BUSH,Peace in the Middle East is in our nation’s interests.,S,,IP,,S,,IP,,S,,IP,
24,BUSH,Having a hemisphere that is free for trade and peaceful is in our nation’s interests.,S,,IP,,S,,IP,,S,,IP,
25,BUSH,Strong relations in Europe is in our nation’s interest.,S,,IP,,S,,IP,,S,,IP,
26,BUSH,I’ve thought a lot about what it means to be the president.,S,,IP,,S,,IP,,S,,IP,
