unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MCCAIN,"Well, let — let me say, Bob, thank you.",THK; TT,,,,THK; TT,,,,THK; TT,,,
2,MCCAIN,And thanks to Hofstra.,THK,,,,THK,,,,THK,,,
3,MCCAIN,"And, by the way, our beloved Nancy Reagan is in the hospital tonight, so our thoughts and prayers are going with you.",S,,AE,,S,,AE,,S,,AE,
4,MCCAIN,"It’s good to see you again, Senator Obama.",GR,,,,GR,,,,GR,,,
5,MCCAIN,"Americans are hurting right now, and they’re angry.",S,,AE,,S,,AE,,S,,AE,
6,MCCAIN,"They’re hurting, and they’re angry.",S,,AE,,S,,AE,,S,,AE,
7,MCCAIN,"They’re innocent victims of greed and excess on Wall Street and as well as Washington, D.",S,,AF; AE,,S,,AF; AE,,S,,AF; AE,
8,MCCAIN,"And they’re angry, and they have every reason to be angry.",S,,AE,,S,,AE,,S,,AE,
9,MCCAIN,And they want this country to go in a new direction.,S,,,,S,,,,S,,,
10,MCCAIN,And there are elements of my proposal that you just outlined which I won’t repeat.,S,,,,S,,,,S,,,
11,MCCAIN,"But we also have to have a short-term fix, in my view, and long- term fixes.",S,,IP,,S,,IP,,S,,IP,
12,MCCAIN,Let me just talk to you about one of the short-term fixes.,TT,,,,TT,,,,TT,,,
13,MCCAIN,The catalyst for this housing crisis was the Fannie and Freddie Mae that caused subprime lending situation that now caused the housing market in America to collapse.,S; S-Inform,,ATTR; CB; SE,,S; S-Inform,,ATTR; CB; SE,,S; S-Inform,,ATTR; CB; SE,
14,MCCAIN,"I am convinced that, until we reverse this continued decline in home ownership and put a floor under it, and so that people have not only the hope and belief they can stay in their homes and realize the American dream, but that value will come up.",S; IAFA-OF,,AE; IP,,S; IAFA-OF,,AE; IP,,S; IAFA-OF,,AE; IP,
15,MCCAIN,"Now, we have allocated $750 billion.",S-Inform,,,,S-Inform,,,,S-Inform,,,
