unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,CAROLE SIMPSON,Good evening and welcome to this second of three presidential debates between the major candidates for president of the US.,GR,,,,GR,,,,GR,,,
2,CAROLE SIMPSON,"The candidates are the Republican nominee, President George Bush, the independent Ross Perot and Governor Bill Clinton, the Democratic nominee.",S,,,,S,,,,S,,,
3,CAROLE SIMPSON,"My name is Carole Simpson, and I will be the moderator for tonight’s 90-minute debate, which is coming to you from the campus of the University of Richmond in Richmond, Virginia.",S,,,,S,,,,S,,,
4,CAROLE SIMPSON,"Now, tonight’s program is unlike any other presidential debate in history.",S,,,,S,,,,S,,,
5,CAROLE SIMPSON,We’re making history now and it’s pretty exciting.,S,,,,S,,,,S,,,
6,CAROLE SIMPSON,An independent polling firm has selected an audience of 209 uncommitted voters from this area.,S-Inform,,,,S-Inform,,,,S-Inform,,,
7,CAROLE SIMPSON,The candidates will be asked questions by these voters on a topic of their choosing — anything they want to ask about.,S,,,,S,,,,S,,,
8,CAROLE SIMPSON,"My job as moderator is to, you know, take care of the questioning, ask questions myself if I think there needs to be continuity and balance, and sometimes I might ask the candidates to respond to what another candidate may have said.",S,,,,S,,,,S,,,
9,CAROLE SIMPSON,"Now, the format has been agreed to by representatives of both the Republican and Democratic campaigns, and there is no subject matter that is restricted.",S,,,,S,,,,S,,,
10,CAROLE SIMPSON,Anything goes.,S,,,,S,,,,S,,,
11,CAROLE SIMPSON,We can ask anything.,S,,,,S,,,,S,,,
12,CAROLE SIMPSON,"After the debate, the candidates will have an opportunity to make a closing statement.",S,,,,S,,,,S,,,
13,CAROLE SIMPSON,"So, President Bush, I think you said it earlier — let’s get it on.",TG,,,,TG,,,,TG,,,
14,CAROLE SIMPSON,PRESIDENT GEORGE BUSH: Let’s go.,TA,,,,TA,,,,TA,,,
15,SIMPSON,And I think the first question is over here.,S; MS,,,,S; MS,,,,S; MS,,,
16,AUDIENCE QUESTION,Yes.,ANS,,,,ANS,,,,ANS,,,
17,AUDIENCE QUESTION,I’d like to direct my question to Mr.,TG,,,,TG,,,,TG,,,
18,AUDIENCE QUESTION,Perot.,S,,,,S,,,,S,,,
19,AUDIENCE QUESTION,What will you do as president to open foreign markets to fair competition from American business and to stop unfair competition here at home from foreign countries so that we can bring jobs back to the US?,Q-W; OQ,,,,Q-W; OQ,,,,Q-W; OQ,,,
20,ROSS PEROT,That’s right at the top of my agenda.,S,,,,S,,,,S,,,
21,ROSS PEROT,"We’ve shipped millions of jobs overseas and we have a strange situation because we have a process in Washington where after you’ve served for a while you cash in, become a foreign lobbyist, make $30,000 a month, then take a leave, work on presidential campaigns, make sure you’ve got good contacts and then go back out.",S-Inform,,CB,,S-Inform,,CB,,S-Inform,,CB,
22,ROSS PEROT,"Now, if you just want to get down to brass tacks, first thing you ought to do is get all these folks who’ve got these 1-way trade agreements that we’ve negotiated over the years and say fellas, we’ll take the same deal we gave you.",S,,IP,,S,,IP,,S,,IP,
23,ROSS PEROT,"And they’ll gridlock right at that point because for example, we’ve got international competitors who simply could not unload their cars off the ships if they had to comply — you see, if it was a 2-way street, just couldn’t do it.",S-Inform; EXPL,,SE,,S-Inform; EXPL,,SE,,S-Inform; EXPL,,SE,
24,ROSS PEROT,We have got to stop sending jobs overseas.,S,,UF,,S,,UF,,S,,UF,
25,ROSS PEROT,To those of you in the audience who are business people: pretty simple.,S,,,,S,,,,S,,,
26,ROSS PEROT,"If you’re paying $12, $13, $14 an hour for a factory worker, and you can move your factory south of the border, pay $1 an hour for labor, hire a young — let’s assume you’ve been in business for a long time.",S-Inform,,AF,,S-Inform,,AF,,S-Inform,,AF,
27,ROSS PEROT,You’ve got a mature workforce.,S,,,,S,,,,S,,,
28,ROSS PEROT,"Pay $1 an hour for your labor, have no health care — that’s the most expensive single element in making the car.",S-Inform,,AF; CB,,S-Inform,,AF; CB,,S-Inform,,AF; CB,
29,ROSS PEROT,"Have no environmental controls, no pollution controls and no retirement.",S,,CB,,S,,CB,,S,,CB,
30,ROSS PEROT,And you don’t care about anything but making money.,S,,PER; CB,,S,,PER; CB,,S,,PER; CB,
31,ROSS PEROT,There will be a job-sucking sound going south.,S,,AF,,S,,AF,,S,,AF,
32,ROSS PEROT,If the people send me to Washington the first thing I’ll do is study that 2000-page agreement and make sure it’s a 2-way street.,S,,IT; IP,,S,,IT; IP,,S,,IT; IP,
33,ROSS PEROT,One last point here.,TT,,,,TT,,,,TT,,,
34,ROSS PEROT,"I decided I was dumb and didn’t understand it so I called a “Who’s Who” of the folks that have been around it, and I said why won’t everybody go south; they said it will be disruptive; I said for how long.",S; HS,,AF,,S; HS,,AF,,S; HS,,AF,
35,ROSS PEROT,I finally got ’em for 12 to 15 years.,S-Inform,,,,S-Inform,,,,S-Inform,,,
36,ROSS PEROT,"And I said, well, how does it stop being disruptive?",Q-W; S,,,,Q-W; S,,,,Q-W; S,,,
37,ROSS PEROT,"And that is when their jobs come up from a dollar an hour to $6 an hour, and ours go down to $6 an hour; then it’s leveled again, but in the meantime you’ve wrecked the country with these kind of deals.",S,,AF; ATTR,,S,,AF; ATTR,,S,,AF; ATTR,
38,ROSS PEROT,We got to cut it out.,S,,,,S,,,,S,,,
39,SIMPSON,"Thank you, Mr.",THK,,,,THK,,,,THK,,,
40,SIMPSON,Perot.,S,,,,S,,,,S,,,
41,SIMPSON,"I see that the president has stood up, so he must have something to say about this.",S; TG,,,,S; TG,,,,S; TG,,,
42,BUSH,"Carole, the thing that saved us in this global economic slowdown has been our exports, and what I’m trying to do is increase our exports.",S; S-Inform; IAFA-OF,,IT; IP,,S; S-Inform; IAFA-OF,,IT; IP,,S; S-Inform; IAFA-OF,,IT; IP,
43,BUSH,"And if indeed all the jobs were going to move south because there are lower wages, there are lower wages now and they haven’t done that.",S; REJ,,REB; SE,,S; REJ,,REB; SE,,S; REJ,,REB; SE,
44,BUSH,"And so I have just negotiated with the president of Mexico the North American Free Trade Agreement — and the prime minister of Canada, I might add — and I want to have more of these free trade agreements, because export jobs are increasing far faster than any jobs that may have moved overseas.",S-Inform,,IT,,S-Inform,,IT,,S-Inform,,IT,
45,BUSH,"That’s a scare tactic, because it’s not that many.",S; CH,,REB,,S; CH,,REB,,S; CH,,REB,
46,BUSH,"But any one that’s here, we want to have more jobs here.",S,,UF,,S,,UF,,S,,UF,
47,BUSH,And the way to do that is to increase our exports.,S,,,,S,,,,S,,,
48,BUSH,Some believe in protection.,S,,,,S,,,,S,,,
49,BUSH,"I don’t; I believe in free and fair trade, and that’s the thing that saved us.",S; INT,,IP,,S; INT,,IP,,S; INT,,IP,
50,BUSH,"So I will keep on as president trying to get a successful conclusion to the GATT Round, the big Uruguay Round of trade which will really open up markets for our agriculture particularly.",S; S-Inform,,IT,,S; S-Inform,,IT,,S; S-Inform,,IT,
51,BUSH,I want to continue to work after we get this NAFTA agreement ratified this coming year.,S,,IT,,S,,IT,,S,,IT,
52,BUSH,I want to get one with Eastern Europe; I want to get one with Chile.,S,,IT,,S,,IT,,S,,IT,
53,BUSH,"And free and fair trade is the answer, not protection.",S,,IP,,S,,IP,,S,,IP,
54,BUSH,"And, as I say, we’ve had tough economic times, and it’s exports that have saved us, exports that have built.",S,,,,S,,,,S,,,
55,SIMPSON,Governor Clinton.,TG,,,,TG,,,,TG,,,
56,GOVERNOR CLINTON,"I’d like to answer the question, because I’ve actually been a governor for 12 years, so I’ve known a lot of people who have lost their jobs because of jobs moving overseas, and I know a lot of people whose plants have been strengthened by increasing exports.",S; ANS,,IT; IP,,S; ANS,,IT; IP,,S; ANS,,IT; IP,
57,GOVERNOR CLINTON,The trick is to expand our export base and to expand trade on terms that are fair to us.,S,,IP,,S,,IP,,S,,IP,
58,GOVERNOR CLINTON,"It is true that our exports to Mexico, for example, have gone up and our trade deficit has gone down; it’s also true that just today a record high trade deficit was announced with Japan.",S-Inform,,SE,,S-Inform,,SE,,S-Inform,,SE,
59,GOVERNOR CLINTON,So what is the answer?,Q-W; OQ,,,,Q-W; OQ,,,,Q-W; OQ,,,
60,GOVERNOR CLINTON,Let me just mention three things very quickly.,TT,,,,TT,,,,TT,,,
61,GOVERNOR CLINTON,"Number one, make sure that other countries are as open to our markets as our markets are to them, and, if they’re not, have measures on the books that don’t take forever and a day to implement.",S; IAFA,,,,S; IAFA,,,,S; IAFA,,,
62,GOVERNOR CLINTON,"Number two, change the tax code.",IAFA,,,,IAFA,,,,IAFA,,,
63,GOVERNOR CLINTON,There are more deductions in the tax code for shutting plants down and moving overseas than there are for modernizing plant and equipment here.,S-Inform,,SE,,S-Inform,,SE,,S-Inform,,SE,
64,GOVERNOR CLINTON,Our competitors don’t do that.,S,,CB,,S,,CB,,S,,CB,
65,GOVERNOR CLINTON,"Emphasize and subsidize modernizing plant and equipment here, not moving plants overseas.",IAFA,,,,IAFA,,,,IAFA,,,
66,GOVERNOR CLINTON,"Number three, stop the federal government’s program that now gives low-interest loans and job training funds to companies that will actually shut down and move to other countries, but we won’t do the same thing for plants that stay here.",S; IAFA,,CB,,S; IAFA,,CB,,S; IAFA,,CB,
67,GOVERNOR CLINTON,So more trade but on fair terms — and favor investment in America.,S,,IP,,S,,IP,,S,,IP,
68,SIMPSON,Thank you.,THK,,,,THK,,,,THK,,,
69,SIMPSON,I think we have a question over here.,S; TG,,,,S; TG,,,,S; TG,,,
70,AUDIENCE QUESTION,This is for Governor Clinton.,S,,,,S,,,,S,,,
71,AUDIENCE QUESTION,"In the real world, that is, outside of Washington, DC, compensation and achievement are based on goals defined and achieved.",S,,CB,,S,,CB,,S,,CB,
72,AUDIENCE QUESTION,My question is about the deficit.,S,,,,S,,,,S,,,
