unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,CROWLEY,"Good evening from Hofstra University in Hempstead, New York.",S; GR,,,,S; GR,,,,S; GR,,,
2,CROWLEY,I’m Candy Crowley from CNN’s “State of the Union.,S,,,,S,,,,S,,,
3,CROWLEY,"” We are here for the second presidential debate, a town hall, sponsored by the Commission on Presidential Debates.",S,,,,S,,,,S,,,
4,CROWLEY,The Gallup organization chose 82 uncommitted voters from the New York area.,S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
5,CROWLEY,Their questions will drive the night.,S,,,,S,,,,S,,,
6,CROWLEY,My goal is to give the conversation direction and to ensure questions get answered.,S,,,,S,,,,S,,,
7,CROWLEY,The questions are known to me and my team only.,S,,,,S,,,,S,,,
8,CROWLEY,"Neither the commission, nor the candidates have seen them.",S,,,,S,,,,S,,,
9,CROWLEY,I hope to get to as many questions as possible.,S,,,,S,,,,S,,,
10,CROWLEY,"And because I am the optimistic sort, I’m sure the candidates will oblige by keeping their answers concise and on point.",S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
11,CROWLEY,"Each candidate has as much as two minutes to respond to a common question, and there will be a two-minute follow-up.",S,,,,S,,,,S,,,
12,CROWLEY,The audience here in the hall has agreed to be polite and attentive — no cheering or booing or outbursts of any sort.,S,,,,S,,,,S,,,
13,CROWLEY,We will set aside that agreement just this once to welcome President Barack Obama and Governor Mitt Romney.,S; GR,,,,S; GR,,,,S; GR,,,
14,CROWLEY,"Gentlemen, thank you both for joining us here tonight.",IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
15,CROWLEY,"We have a lot of folks who’ve been waiting all day to talk to you, so I want to get right to it.",S,,,,S,,,,S,,,
16,CROWLEY,"Governor Romney, as you know, you won the coin toss, so the first question will go to you.",S,,,,S,,,,S,,,
17,CROWLEY,"And I want to turn to a first-time voter, Jeremy Epstein, who has a question for you.",S,,,,S,,,,S,,,
18,QUESTION,Mr.,S,,,,S,,,,S,,,
19,QUESTION,"President, Governor Romney, as a 20-year-old college student, all I hear from professors, neighbors and others is that when I graduate, I will have little chance to get employment.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
20,QUESTION,"What can you say to reassure me, but more importantly my parents, that I will be able to sufficiently support myself after I graduate?",Q-W,,,,Q-W,,,,Q-W,,,
21,ROMNEY,"Thank you, Jeremy.",IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
22,ROMNEY,"I appreciate your — your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time.",S; THK,,,,S; THK,,,,S; THK,,,
23,ROMNEY,Thank you to Hofstra University and to Candy Crowley for organizing and leading this — this event.,IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
24,ROMNEY,"Thank you, Mr.",IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
25,ROMNEY,"President, also for being part of this — this debate.",S,,,,S,,,,S,,,
26,ROMNEY,Your question — your question is one that’s being asked by college kids all over this country.,S,,,,S,,,,S,,,
27,ROMNEY,"I was in Pennsylvania with someone who had just graduated — this was in Philadelphia — and she said, “I’ve got my degree.",S,,,,S,,,,S,,,
28,ROMNEY,I can’t find a job.,S,,,,S,,,,S,,,
29,ROMNEY,I’ve got three part- time jobs.,S,,,,S,,,,S,,,
30,ROMNEY,They’re just barely enough to pay for my food and pay for an apartment.,S,,,,S,,,,S,,,
31,ROMNEY,I can’t begin to pay back my student loans.,S,,,,S,,,,S,,,
32,ROMNEY,” So what we have to do is two things.,S,,,,S,,,,S,,,
