unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,CAROLE SIMPSON,Good evening and welcome to this second of three presidential debates between the major candidates for president of the US.,S; GR,,,,S; GR,,,,S; GR,,,
2,CAROLE SIMPSON,"The candidates are the Republican nominee, President George Bush, the independent Ross Perot and Governor Bill Clinton, the Democratic nominee.",S,,,,S,,,,S,,,
3,CAROLE SIMPSON,"My name is Carole Simpson, and I will be the moderator for tonight’s 90-minute debate, which is coming to you from the campus of the University of Richmond in Richmond, Virginia.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
4,CAROLE SIMPSON,"Now, tonight’s program is unlike any other presidential debate in history.",S,,,,S,,,,S,,,
5,CAROLE SIMPSON,We’re making history now and it’s pretty exciting.,S,,,,S,,,,S,,,
6,CAROLE SIMPSON,An independent polling firm has selected an audience of 209 uncommitted voters from this area.,S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
7,CAROLE SIMPSON,The candidates will be asked questions by these voters on a topic of their choosing — anything they want to ask about.,S,,,,S,,,,S,,,
8,CAROLE SIMPSON,"My job as moderator is to, you know, take care of the questioning, ask questions myself if I think there needs to be continuity and balance, and sometimes I might ask the candidates to respond to what another candidate may have said.",S,,IP,,S,,IP,,S,,IP,
9,CAROLE SIMPSON,"Now, the format has been agreed to by representatives of both the Republican and Democratic campaigns, and there is no subject matter that is restricted.",S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
10,CAROLE SIMPSON,Anything goes.,S,,,,S,,,,S,,,
11,CAROLE SIMPSON,We can ask anything.,S,,,,S,,,,S,,,
12,CAROLE SIMPSON,"After the debate, the candidates will have an opportunity to make a closing statement.",S,,,,S,,,,S,,,
13,CAROLE SIMPSON,"So, President Bush, I think you said it earlier — let’s get it on.",S,,IP,,S,,IP,,S,,IP,
14,CAROLE SIMPSON,PRESIDENT GEORGE BUSH: Let’s go.,S,,,,S,,,,S,,,
15,SIMPSON,And I think the first question is over here.,S,,IP,,S,,IP,,S,,IP,
16,AUDIENCE QUESTION,Yes.,S; ANS,,,,S; ANS,,,,S; ANS,,,
17,AUDIENCE QUESTION,I’d like to direct my question to Mr.,S,,,,S,,,,S,,,
18,AUDIENCE QUESTION,Perot.,S,,,,S,,,,S,,,
19,AUDIENCE QUESTION,What will you do as president to open foreign markets to fair competition from American business and to stop unfair competition here at home from foreign countries so that we can bring jobs back to the US?,Q-W,,APAT,,Q-W,,APAT,,Q-W,,APAT,
20,ROSS PEROT,That’s right at the top of my agenda.,S,,,,S,,,,S,,,
