unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MODERATOR,"Good evening, from Wake Chapel at Wake Forest University at Winston-Salem, North Carolina.",S; GR,,,,S; GR,,,,S; GR,,,
2,MODERATOR,I’m Jim Lehrer of the News Hour on PBS.,S,,,,S,,,,S,,,
3,MODERATOR,"Welcome to this second election 2000 debate between the Republican candidate for president, Gov.",IAFA; GR; HS,,,,IAFA; GR; HS,,,,IAFA; GR; HS,,,
4,MODERATOR,George W.,S,,,,S,,,,S,,,
5,MODERATOR,"Bush of Texas, and the Democratic candidate, Vice President Al Gore.",S,,,,S,,,,S,,,
6,MODERATOR,These debates are sponsored by the Commission on Presidential Debates.,S,,,,S,,,,S,,,
7,MODERATOR,The format and the rules are those negotiated by representatives of the two campaigns.,S,,,,S,,,,S,,,
8,MODERATOR,Only the subjects tonight and the questions are mine.,S,,,,S,,,,S,,,
9,MODERATOR,The format tonight is that of a conversation.,S,,,,S,,,,S,,,
10,MODERATOR,"The only prevailing rule is that no single response can ever, ever exceed two minutes.",S,,,,S,,,,S,,,
11,MODERATOR,"The prevailing rule for the audience here in the hall is as always, absolute quiet, please.",S,,,,S,,,,S,,,
12,MODERATOR,"Good evening, Governor Bush, Vice President Gore.",S; GR,,,,S; GR,,,,S; GR,,,
13,MODERATOR,"The end of our 90 minutes last week in Boston, the total time each of you took was virtually the same.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
14,MODERATOR,"Let’s see if we can do the same tonight, or come close.",S,,,,S,,,,S,,,
15,MODERATOR,"Governor Bush, the first question goes to you.",S,,,,S,,,,S,,,
16,MODERATOR,"One of you is about to be elected the leader of the single-most powerful nation in the world, economically, financially, militarily, diplomatically, you name it.",S,,,,S,,,,S,,,
17,MODERATOR,Have you formed any guiding principles for exercising this enormous power?,YNQ,,,,YNQ,,,,YNQ,,,
18,BUSH,"I have, I have.",S,,,,S,,,,S,,,
19,BUSH,First question is what’s in the best interests of the United States?,,,UF,,,,UF,,,,UF,
20,BUSH,What’s in the best interests of our people?,Q-W,,,,Q-W,,,,Q-W,,,
21,BUSH,When it comes to foreign policy that will be my guiding question.,S,,,,S,,,,S,,,
22,BUSH,Is it in our nation’s interests?,YNQ,,,,YNQ,,,,YNQ,,,
23,BUSH,Peace in the Middle East is in our nation’s interests.,S,,,,S,,,,S,,,
24,BUSH,Having a hemisphere that is free for trade and peaceful is in our nation’s interests.,S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
25,BUSH,Strong relations in Europe is in our nation’s interest.,S,,,,S,,,,S,,,
26,BUSH,I’ve thought a lot about what it means to be the president.,S,,,,S,,,,S,,,
27,BUSH,"I also understand that an administration is not one person, but an administration is dedicated citizens who are called by the president to serve the country, to serve a cause greater than self, and so I’ve thought about an administration of people who represent all America, but people who understand my compassionate and conservative philosophy.",S,,APAT,,S,,APAT,,S,,APAT,
28,BUSH,"I haven’t started naming names except for one person, and that’s Mr.",S,,,,S,,,,S,,,
29,BUSH,Richard Cheney who I thought did a great job the other night.,S,,,,S,,,,S,,,
30,BUSH,He’s a vice presidential nominee who represents — I think people got to see why I picked him.,S,,IP,,S,,IP,,S,,IP,
31,BUSH,He’s man of solid judgment and he’s going to be a person to stand by my side.,S,,,,S,,,,S,,,
32,BUSH,One of the things I’ve done in Texas is I’ve been able to put together a good team of people.,S,,,,S,,,,S,,,
33,BUSH,I’ve been able to set clear goals.,S,,,,S,,,,S,,,
34,BUSH,"The goals ought to be an education system that leaves no child behind, Medicare for our seniors, a Social Security system that’s safe and secure, foreign policy that’s in our nation’s interest, and a strong military, and then bring people together to achieve those goals.",S,,,,S,,,,S,,,
35,BUSH,That’s what a Chief Executive Officer does.,S,,,,S,,,,S,,,
36,BUSH,So I’ve thought long and hard about the honor of being the President of the United States.,S,,UF,,S,,UF,,S,,UF,
37,MODERATOR,Vice President Gore?,,,,,,,,,,,,
38,GORE,"Yes, Jim.",S; ANS,,,,S; ANS,,,,S; ANS,,,
39,GORE,"I’ve thought a lot about that particular question, and I see our greatest national strength coming from what we stand for in the world.",S,,,,S,,,,S,,,
40,GORE,I see it as a question of values.,S,,,,S,,,,S,,,
41,GORE,It is a great tribute to our founders that 224 years later this nation is now looked to by the peoples on every other continent and the peoples from every part of this earth as a kind of model for what their future could be.,S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
42,GORE,And I don’t think that’s just the kind of exaggeration that we take pride in as Americans.,S,,,,S,,,,S,,,
43,GORE,"It’s really true, even the ones that sometimes shake their fists at us.",S,,,,S,,,,S,,,
44,GORE,"As soon as they have a change that allows the people to speak freely, they’re wanting to develop some kind of blueprint that will help them be like us more, freedom, free markets, political freedom.",S,,APAT,,S,,APAT,,S,,APAT,
45,GORE,So I think first and foremost our power ought to be wielded to in ways that form a more perfect union.,S,,IP,,S,,IP,,S,,IP,
46,GORE,The power of example is America’s greatest power in the world.,S,,APAT,,S,,APAT,,S,,APAT,
47,GORE,"And that means, for example, standing up for human rights.",S,,,,S,,,,S,,,
48,GORE,"It means addressing the problems of injustice and inequity, along the lines of race and ethnicity here at home, because in all these other places around the world where they’re having these terrible problems, when they feel hope, it is often because they see in us a reflection of their potential.",S; EXPL,,RB,,S; EXPL,,RB,,S; EXPL,,RB,
49,GORE,So we’ve got to enforce our civil rights laws.,S,,,,S,,,,S,,,
