unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,SPEAKER_27,"media. In an hour, President Biden and former President Trump will face off in a debate for the first time since the election.",S,,,,S,,,,S,,,
2,SPEAKER_27,"Tonight's debate, hosted by CNN and simulcasted here on the C-SPAN Networks.",S,,,,S,,,,S,,,
3,SPEAKER_27,"Before the debate begins tonight, we want to start the conversation as we always do on C-SPAN with all of you, the voters.",S,,,,S,,,,S,,,
4,SPEAKER_27,"If you're supporting President Biden, and you already know you'll be voting for him, dial in tonight at 202-748-8920.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
5,SPEAKER_27,"If you support the former president, dial in at 202-748-8921.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
6,SPEAKER_27,"If you are undecided about who you will vote for this November, call in at 202-748-8922.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
7,SPEAKER_27,"And if you've decided to vote for a third party candidate, call us at 202-748-8923.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
8,SPEAKER_27,"Our question for you before the debate, what do you want to hear in this first presidential Debate.",S,,,,S,,,,S,,,
9,SPEAKER_27,That is our question.,S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
10,SPEAKER_27,You can join us on X as well with the handle at C-SPAN or on facebook.com slash C-SPAN.,S,,,,S,,,,S,,,
11,SPEAKER_27,And you can also send a text and answer that question at 202-748-8903.,S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
12,SPEAKER_27,We will also hear from you after tonight's debate.,S,,,,S,,,,S,,,
13,SPEAKER_27,"We'll take your phone calls and your texts, and if you follow us on X at C-SPAN, you can participate in our poll this evening.",S,,,,S,,,,S,,,
14,SPEAKER_27,"We want to know in that poll who you think won tonight's debate, and we'll show you those results later on.",S,,,,S,,,,S,,,
15,SPEAKER_27,Joining us from inside the spin room tonight is Naomi Lim.,IAFA,,,,IAFA,,,,IAFA,,,
16,SPEAKER_27,She's the White House reporter with the Washington Examiner.,S,,RB,,S,,RB,,S,,RB,
17,SPEAKER_27,"Naomi Lim, according to the Hollywood Reporter, CNN told that outlet, there are over journalists from around the world on site in Atlanta to cover this first presidential debate.",S,,,,S,,,,S,,,
18,SPEAKER_27,"Describe the scene where you're at in the spin room, in the Atlanta studio, and around the city.",S,,,,S,,,,S,,,
19,SPEAKER_78,There's an amazing sense of anticipation here.,IAFA,,,,IAFA,,,,IAFA,,,
20,SPEAKER_78,I think reporters are sort of feeling the weight of this moment because this is sort of an unprecedented event in terms of the debate.,S; EXPL,,IP,,S; EXPL,,IP,,S; EXPL,,IP,
21,SPEAKER_78,"It's against these two candidates that, although the public knows very well, hasn't seen them as you were sort of describing side by side.",S,,,,S,,,,S,,,
22,SPEAKER_78,since and I think that we're sort of waiting to figure out what will happen.,S,,IP,,S,,IP,,S,,IP,
23,SPEAKER_78,We've been talking about it for so long.,S,,,,S,,,,S,,,
24,SPEAKER_78,It's a little bit different though in previous years.,S,,,,S,,,,S,,,
25,SPEAKER_78,"In previous years, we can go to these debates and we can sort of pull aside voters as they wait to go in and sort of get their gut check about how they're feeling about the elections, about the different campaigns, the different candidates, the different issues.",S,,,,S,,,,S,,,
26,SPEAKER_78,but this this debate is different in the past it's again like as you mentioned hosted by CNN the first time that that's happened in almost years and and there's no sort of in-person audience it'll just be the two moderators Jake Tapper and Dana Bash and and not even any campaign staff are allowed to sort of intercede even with their two commercial breaks.,S,,,,S,,,,S,,,
27,SPEAKER_78,So there's a sense of sort of heightened anticipation expectations.,IAFA,,,,IAFA,,,,IAFA,,,
28,SPEAKER_78,There are sort of protests whittled around but there's also the sort of security zone is so large here that you know it's it's not it's not something that the candidates will particularly interact with unless they're on their way on their motorcade into the venue.,S,,,,S,,,,S,,,
29,SPEAKER_27,What is security like around the Atlanta studio at CNN studio there?,Q-W,,,,Q-W,,,,Q-W,,,
30,SPEAKER_78,"It's been really locked down, sort of getting ubers in places.",S,,,,S,,,,S,,,
31,SPEAKER_78,There's a little bit of,IAFA,,,,IAFA,,,,IAFA,,,
32,SPEAKER_78,"annoyance, irritation about that because at the same time there's also other sporting events.",IAFA; EXPL,,,,IAFA; EXPL,,,,IAFA; EXPL,,,
33,SPEAKER_78,"And so speaking to sort of voters and the leader to tonight, I sort of said, you know, what were their sort of feelings about the debate?",,,,,,,,,,,,
34,SPEAKER_78,"Because usually having an event like this in a battleground state such as Georgia, it can be seen as a boon for the local economy that'll be different this time because again we don't have that audience but as you sort of mentioned there are hundreds of journalists from all around the world that have come in here to cover this event and hopefully shine a spotlight not only on this state but the issues that the public have at large.",S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
35,SPEAKER_27,You're in the spin room.,S,,,,S,,,,S,,,
36,SPEAKER_27,What is this room and what happens there?,Q-W,,,,Q-W,,,,Q-W,,,
37,SPEAKER_78,So this is basically a basketball stadium at the Georgia Institute of Technology.,S,,,,S,,,,S,,,
38,SPEAKER_78,And it's been transformed.,S,,,,S,,,,S,,,
39,SPEAKER_78,You have sort of sets like yours along either side.,S,,,,S,,,,S,,,
40,SPEAKER_78,"And then sort of on the court where players would usually try to eke out points, you're sort of seeing the campaigns bring out some of their targets, at least to do pre-spin about what their expectations are for the debate, what they're hoping to get out of it.",S,,,,S,,,,S,,,
41,SPEAKER_78,And we're sort of seeing that play out.,S,,,,S,,,,S,,,
42,SPEAKER_78,"And then also sort of, you know, local journalists also doing hits and things like that to, you know, try and convey what's happening here to the audiences like yours.",S,,,,S,,,,S,,,
43,SPEAKER_27,What surrogates are we expecting to see in the spin room tonight after the debate?,Q-W,,,,Q-W,,,,Q-W,,,
44,SPEAKER_27,"C-SPAN is going to be live to hear from many of the candidates, supporters, but who are some names that we can expect to see?",,,,,,,,,,,,
45,SPEAKER_78,"So it's going to be interesting in terms of years gone past, because in previous years it's been a little bit more freewheeling, where there will be campaign surrogates or supporters standing in front of people with sort of signs.",S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
46,SPEAKER_78,And we learned this afternoon that the Biden campaign is sort of throwing out that playbook.,S,,,,S,,,,S,,,
47,SPEAKER_78,"Instead, they're going to bring out people like Governor Gavin Newsom from California, people like Senator Raphael Warnock from Georgia, and also the former Atlanta Mayor Keisha Lance Bottoms.",S,,,,S,,,,S,,,
48,SPEAKER_78,And they're sort of going to do a very formal or most press conference where each of those surrogates will sort of give a statement and take a few questions but then leave the spin room.,S,,,,S,,,,S,,,
49,SPEAKER_78,And that's something that we haven't seen in the past that is at the same time sort of very in line with the Biden campaign.,S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
50,SPEAKER_78,They tend to be very disciplined.,S,,,,S,,,,S,,,
51,SPEAKER_78,"And it's a way for them to sort of control what happens, depending if it's a good night or a bad night for Biden.",S; GR,,,,S; GR,,,,S; GR,,,
52,SPEAKER_78,"On the Trump side, there being a little bit tight-lipped about it, we've seen sort of",S,,,,S,,,,S,,,
53,SPEAKER_78,representative Byron Donalds,S,,,,S,,,,S,,,
54,SPEAKER_78,from Florida sort of take questions.,IAFA,,,,IAFA,,,,IAFA,,,
55,SPEAKER_78,"We've also seen Corey Lewandowski, who was the campaign manager, doing his rounds.",S,,,,S,,,,S,,,
56,SPEAKER_78,"So we're seeing those sort of faces, but it will be a different operation from years gone past.",S,,,,S,,,,S,,,
57,SPEAKER_78,"And again, maybe that will change if the Biden campaign have a good night.",S; GR,,,,S; GR,,,,S; GR,,,
58,SPEAKER_78,But I think they're sort of very much sort of setting expectations.,S,,IP,,S,,IP,,S,,IP,
59,SPEAKER_78,"I thought it was interesting too in some of their pre-spin, they were sort of saying that, you know, they're not anticipating a polling bump per se.",S,,,,S,,,,S,,,
60,SPEAKER_78,"This is just their chance to make sure that the president can lay out this contrast between these two candidates that, you know, we haven't seen side by side in so many years.",S,,,,S,,,,S,,,
61,SPEAKER_27,Anything else that the two camps have told you about their strategy tonight and their preparations for the debate?,,,,,,,,,,,,
62,SPEAKER_78,"So the preparations have been very different from the two candidates, just as their policies are different, their strategies in terms of preparation.",S,,,,S,,,,S,,,
63,SPEAKER_78,"You have Biden, who has taken a very traditional approach.",S,,,,S,,,,S,,,
64,SPEAKER_78,"He sort of ensconced himself and Cam David for the past week, sitting down with former White House Chief of Staff Ron Klain, sort of nutting out his policy positions before then sort of doing 90-minute mock debates.",S; S-Inform,,RB,,S; S-Inform,,RB,,S; S-Inform,,RB,
65,SPEAKER_78,"On the other hand, you have Trump, who And maybe this is an expectation setting game, but what they've been telling the public is that they've had advisors, people like Jason Miller, who's his comms director or comms advisor, as well as, you know, policy advisors like Stephen Miller, who was very integral to his immigration policy, as well as these candidates that are popping up for potential, the vice presidential nomination, just sort of advising him and doing these informal policy discussions.",S,,,,S,,,,S,,,
66,SPEAKER_78,And so that's how they're prepared.,S,,,,S,,,,S,,,
67,SPEAKER_78,"In terms of strategy, it's going to be interesting.",S,,,,S,,,,S,,,
68,SPEAKER_78,"We're hearing that Trump is going to be talking about crime, economy, and immigration, whereas the Biden camp will be talking about sort of abortion, you know, the importance of democracy, talking about the election interference, as well as the January 6th Capitol riot.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
69,SPEAKER_78,as well as sort of this idea that Trump is helping big business and and you know wealthy people not not the middle class so they're the true sort of talking points that we'll expect to hear Biden has been a little bit more forthcoming in terms of his strategy one thing that his campaign has said that is he he's gonna maybe sort of try to appear above the frame and and speak to the camera it's like I'm speaking to you trying to sort of skirt around Trump and skirt around the moderators to get his message directly out to the people.,S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
70,SPEAKER_78,So that's what we're sort of seeing,S,,,,S,,,,S,,,
71,SPEAKER_78,"pre-debate, post-debate.",S,,,,S,,,,S,,,
72,SPEAKER_78,"They have stops in Virginia on the Trump side and stops in North Carolina on the Biden side, and then sort of fundraising off of that as well.",S,,,,S,,,,S,,,
73,SPEAKER_27,Naomi Lam covers the White House for the Washington Examiner.,S,,RB,,S,,RB,,S,,RB,
74,SPEAKER_27,Thank you for your time.,IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
75,SPEAKER_27,"As we heard from Naomi, the topics that are likely to be addressed this evening by the two candidates and that's what we want to hear from you ahead of tonight's debate at p.m.",S,,,,S,,,,S,,,
76,SPEAKER_27,Eastern time.,S,,,,S,,,,S,,,
77,SPEAKER_27,What issues do you want them to address?,Q-W,,,,Q-W,,,,Q-W,,,
78,SPEAKER_27,We're going to get to your thoughts here in just a minute.,S,,,,S,,,,S,,,
79,SPEAKER_27,"But first, as Naomi was talking about, she's in the spin room, which is where the surrogates go before, in this case, and after, to talk about how they expect their candidates to do and how they did, and talk about how they did in the actual debate.",S,,,,S,,,,S,,,
80,SPEAKER_27,Let's take a spin around the spin room.,S,,,,S,,,,S,,,
81,UNKNOWN,Is there a break?,YNQ,,,,YNQ,,,,YNQ,,,
82,SPEAKER_67,Is he right out of the break?,YNQ,,,,YNQ,,,,YNQ,,,
83,UNKNOWN,Thank you.,IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
84,UNKNOWN,Thank you.,IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
85,UNKNOWN,Thank you,IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
86,SPEAKER_27,"Again, C-SPAN's cameras live inside the spin room in Atlanta, just ahead of tonight's CNN presidential debate.",S,,,,S,,,,S,,,
87,SPEAKER_27,"We, along with many other networks, simulcasting the debate here on our C-SPAN networks, ahead of the two candidates squaring off in this first presidential debate we want to hear from all of you this evening.",S,,,,S,,,,S,,,
88,SPEAKER_27,"Tonight's debate is different from previous debates in many ways, as many of you've heard.",S,,,,S,,,,S,,,
89,SPEAKER_27,"The first time is sitting president, squares off against a former president, and the first time in years the commission on presidential debates hasn't hosted a general election matchup.",S,,,,S,,,,S,,,
90,SPEAKER_27,The rules are different as well.,S,,,,S,,,,S,,,
91,SPEAKER_27,This is what you can expect.,S,,,,S,,,,S,,,
92,SPEAKER_27,A minute debate tonight.,S,,,,S,,,,S,,,
93,SPEAKER_27,The microphones will be muted when one candidate is talking and addressing the question or responding to a question.,S,,,,S,,,,S,,,
94,SPEAKER_27,"No props or pre-written notes are allowed, but they will be provided a pen, a pad of paper, and a bottle of water.",S; REJ; ANS,,,,S; REJ; ANS,,,,S; REJ; ANS,,,
95,SPEAKER_27,There will be two commercial breaks about three and a half minutes long.,S,,,,S,,,,S,,,
96,SPEAKER_27,No campaign staff can interact during those breaks.,S; REJ; ANS,,,,S; REJ; ANS,,,,S; REJ; ANS,,,
97,SPEAKER_27,And CNN is also not allowing the other networks to provide analysis or have their anchors fill the breaks.,S,,,,S,,,,S,,,
98,SPEAKER_27,They can fill the breaks with ads.,S,,,,S,,,,S,,,
99,SPEAKER_27,No opening statements from the candidates.,S; REJ; ANS,,,,S; REJ; ANS,,,,S; REJ; ANS,,,
100,SPEAKER_27,They will have a uniform podium.,S,,,,S,,,,S,,,
101,SPEAKER_27,"In other words, they look the same.",S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
102,SPEAKER_27,And the positions have been determined by a coin flip.,S,,,,S,,,,S,,,
103,SPEAKER_27,"President Biden on the right, former President Trump will be on the left of your screen.",S,,PB,,S,,PB,,S,,PB,
104,SPEAKER_27,"And as you've heard, no studio audience.",S,,,,S,,,,S,,,
105,SPEAKER_27,A little more about tonight's debate from CNN's Phil Mattingly.,S,,,,S,,,,S,,,
106,SPEAKER_27,"Last night on the network, he did a walkthrough of the debate hall, the debate studio.",S,,,,S,,,,S,,,
107,SPEAKER_27,Take a look.,IAFA,,,,IAFA,,,,IAFA,,,
108,SPEAKER_10,President Biden will enter from the right side of your screen.,S,,PB,,S,,PB,,S,,PB,
109,SPEAKER_10,President Trump will enter from the left side of your screen.,S,,PB,,S,,PB,,S,,PB,
110,SPEAKER_10,"The podiums are eight feet apart, directly across from them, the moderators, CNN's Jake Tapper and Dana Bash.",S,,,,S,,,,S,,,
111,SPEAKER_10,"Now, a reminder, this is a television studio.",S,,,,S,,,,S,,,
112,SPEAKER_10,There's no audience.,IAFA,,,,IAFA,,,,IAFA,,,
113,SPEAKER_10,Candidates will have two minutes to answer questions and one minute for responses and rebuttals.,S,,,,S,,,,S,,,
114,SPEAKER_10,"At the moderator's discretion, there may be an additional minute for follow-ups, clarifications, or responses.",S,,,,S,,,,S,,,
