unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MODERATORS,Anderson Cooper and Martha Raddatz,S,,,,S,,,,S,,,
2,RADDATZ,Good evening.,S; GR,,,,S; GR,,,,S; GR,,,
3,RADDATZ,I’m Martha Raddatz from ABC News.,S,,,,S,,,,S,,,
4,COOPER,And I’m Anderson Cooper from CNN.,S,,,,S,,,,S,,,
5,COOPER,We want to welcome you to Washington University in St.,S; GR,,,,S; GR,,,,S; GR,,,
6,COOPER,"Louis for the second presidential debate between Hillary Clinton and Donald Trump, sponsored by the Commission on Presidential Debates.",S,,,,S,,,,S,,,
7,COOPER,"Tonight’s debate is a town hall format, which gives voters a chance to directly ask the candidates questions.",S,,,,S,,,,S,,,
8,COOPER,"Martha and I will ask follow-up questions but the night really belongs to the people in this room, and to people across the country who have submitted questions online.",S,,,,S,,,,S,,,
9,RADDATZ,The people you see on this stage were chosen by the Gallup Organization.,S,,,,S,,,,S,,,
10,RADDATZ,They are all from the St.,S,,,,S,,,,S,,,
11,RADDATZ,Louis area and told Gallup they haven’t committed to a candidate.,S,,,,S,,,,S,,,
12,RADDATZ,"Each of them came here with questions they wanted to ask, and we saw those questions for the first time this morning.",S,,,,S,,,,S,,,
13,RADDATZ,Anderson and I and our team from ABC and CNN are the only ones who have seen them.,S,,,,S,,,,S,,,
14,RADDATZ,Both candidates will have two minutes to answer each audience and online question.,S,,,,S,,,,S,,,
15,RADDATZ,"We hope to get to as many questions as we can, so we’ve asked the audience here not to slow things down with any applause.",S,,,,S,,,,S,,,
16,RADDATZ,Except for now.,S,,,,S,,,,S,,,
17,RADDATZ,"Ladies and gentlemen the Republican nominee for president, Donald J.",S,,,,S,,,,S,,,
18,RADDATZ,"Trump, and the Democratic nominee for president, Hillary Clinton.",S,,,,S,,,,S,,,
19,COOPER,Thank you very much for being here.,IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
20,COOPER,We’re going to begin with a question from one of the members in our town hall.,S,,,,S,,,,S,,,
21,COOPER,Each of you will have two minutes to respond to this question.,S,,,,S,,,,S,,,
22,COOPER,"Secretary Clinton, you won the coin toss, so you’ll go first.",S,,,,S,,,,S,,,
23,COOPER,Our first question comes from Patrice Brock.,S,,,,S,,,,S,,,
24,COOPER,Patrice?,,,,,,,,,,,,
25,QUESTION,"Thank you, and good evening.",IAFA; GR; THK,,,,IAFA; GR; THK,,,,IAFA; GR; THK,,,
26,QUESTION,"The last presidential debate could have been rated as MA, mature audiences, per TV parental guidelines.",S,,,,S,,,,S,,,
27,QUESTION,"Knowing that educators assign viewing the presidential debates as students’ homework, do you feel you’re modeling appropriate and positive behavior for today’s youth?",,,,,,,,,,,,
28,CLINTON,"Well, thank you.",IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
29,CLINTON,Are you a teacher?,YNQ,,,,YNQ,,,,YNQ,,,
30,CLINTON,"Yes, I think that that’s a very good question, because I’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign.",S; EXPL; ANS,,IP,,S; EXPL; ANS,,IP,,S; EXPL; ANS,,IP,
31,CLINTON,And I think it is very important for us to make clear to our children that our country really is great because we’re good.,S; EXPL,,AE; IP,,S; EXPL,,AE; IP,,S; EXPL,,AE; IP,
32,CLINTON,"And we are going to respect one another, lift each other up.",S,,,,S,,,,S,,,
33,CLINTON,"We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country.",S,,,,S,,,,S,,,
34,CLINTON,I have a very positive and optimistic view about what we can do together.,S,,,,S,,,,S,,,
35,CLINTON,"That’s why the slogan of my campaign is “Stronger Together,” because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals—and I’ve set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else.",S; EXPL,,IP,,S; EXPL,,IP,,S; EXPL,,IP,
36,CLINTON,"If we set those goals and we go together to try to achieve them, there’s nothing in my opinion that America can’t do.",S,,APAT; IP,,S,,APAT; IP,,S,,APAT; IP,
37,CLINTON,So that’s why I hope that we will come together in this campaign.,S,,,,S,,,,S,,,
38,CLINTON,"Obviously, I’m hoping to earn your vote, I’m hoping to be elected in November, and I can promise you, I will work with every American.",S,,APAT,,S,,APAT,,S,,APAT,
39,CLINTON,"I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion.",S,,UF,,S,,UF,,S,,UF,
40,CLINTON,"I want us to heal our country and bring it together because that’s, I think, the best way for us to get the future that our children and our grandchildren deserve.",S; EXPL,,AE; IP,,S; EXPL,,AE; IP,,S; EXPL,,AE; IP,
41,COOPER,"Secretary Clinton, thank you.",IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
42,COOPER,Mr.,S,,,,S,,,,S,,,
43,COOPER,"Trump, you have two minutes.",S,,,,S,,,,S,,,
44,TRUMP,"Well, I actually agree with that.",S,,,,S,,,,S,,,
45,TRUMP,I agree with everything she said.,S; AGR,,,,S; AGR,,,,S; AGR,,,
46,TRUMP,I began this campaign because I was so tired of seeing such foolish things happen to our country.,S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
47,TRUMP,This is a great country.,S,,AP,,S,,AP,,S,,AP,
48,TRUMP,This is a great land.,S,,,,S,,,,S,,,
49,TRUMP,I’ve gotten to know the people of the country over the last year-and-a-half that I’ve been doing this as a politician.,S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
50,TRUMP,"I cannot believe I’m saying that about myself, but I guess I have been a politician.",S,,,,S,,,,S,,,
51,TRUMP,And my whole concept was to make America great again.,S,,APAT,,S,,APAT,,S,,APAT,
52,TRUMP,"When I watch the deals being made, when I watch what’s happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it’s a one-sided transaction where we’re giving back $150 billion to a terrorist state, really, the number one terror state, we’ve made them a strong country from really a very weak country just three years ago.",S; S-Inform,,AF,,S; S-Inform,,AF,,S; S-Inform,,AF,
53,TRUMP,"When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it’s in business and trade, where we’re doing so badly.",S,,,,S,,,,S,,,
54,TRUMP,"Last year, we had an almost $800 billion trade deficit.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
55,TRUMP,"In other words, trading with other countries.",IAFA; EXPL,,,,IAFA; EXPL,,,,IAFA; EXPL,,,
56,TRUMP,We had an $800 billion deficit.,S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
57,TRUMP,It’s hard to believe.,S,,,,S,,,,S,,,
58,TRUMP,Inconceivable.,S,,,,S,,,,S,,,
59,TRUMP,You say who’s making these deals?,,,,,,,,,,,,
60,TRUMP,We’re going to make great trade deals.,S,,,,S,,,,S,,,
61,TRUMP,We’re going to have a strong border.,S,,,,S,,,,S,,,
62,TRUMP,We’re going to bring back law and order.,S,,,,S,,,,S,,,
63,TRUMP,"Just today, policemen was shot, two killed.",S,,,,S,,,,S,,,
64,TRUMP,And this is happening on a weekly basis.,S,,,,S,,,,S,,,
65,TRUMP,We have to bring back respect to law enforcement.,S,,,,S,,,,S,,,
66,TRUMP,"At the same time, we have to take care of people on all sides.",S,,,,S,,,,S,,,
67,TRUMP,We need justice.,S,,,,S,,,,S,,,
68,TRUMP,"But I want to do things that haven’t been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it.",S,,APAT,,S,,APAT,,S,,APAT,
69,TRUMP,It’s called make America great again.,S,,APAT,,S,,APAT,,S,,APAT,
70,COOPER,"Thank you, Mr.",IAFA; THK,,,,IAFA; THK,,,,IAFA; THK,,,
71,COOPER,Trump.,S,,,,S,,,,S,,,
72,COOPER,The question from Patrice was about are you both modeling positive and appropriate behavior for today’s youth?,,,,,,,,,,,,
73,COOPER,"We received a lot of questions online, Mr.",S,,,,S,,,,S,,,
74,COOPER,"Trump, about the tape that was released on Friday, as you can imagine.",S,,,,S,,,,S,,,
75,COOPER,You called what you said locker room banter.,S,,,,S,,,,S,,,
76,COOPER,"You described kissing women without consent, grabbing their genitals.",S,,,,S,,,,S,,,
77,COOPER,That is sexual assault.,S; EXPL,,,,S; EXPL,,,,S; EXPL,,,
78,COOPER,You bragged that you have sexually assaulted women.,S,,,,S,,,,S,,,
79,COOPER,Do you understand that?,YNQ,,,,YNQ,,,,YNQ,,,
80,TRUMP,"No, I didn’t say that at all.",S; REJ; ANS,,,,S; REJ; ANS,,,,S; REJ; ANS,,,
81,TRUMP,I don’t think you understood what was—this was locker room talk.,S,,,,S,,,,S,,,
82,TRUMP,I’m not proud of it.,S,,,,S,,,,S,,,
83,TRUMP,I apologize to my family.,S; APO,,,,S; APO,,,,S; APO,,,
84,TRUMP,I apologize to the American people.,S; APO,,AP; APAT,,S; APO,,AP; APAT,,S; APO,,AP; APAT,
85,TRUMP,"Certainly, I’m not proud of it.",S,,,,S,,,,S,,,
86,TRUMP,But this is locker room talk.,S,,,,S,,,,S,,,
